"folder_name","T_grouped","Accion","WT_original","WT_acumulado","WT_extraido"
"S1",20,"Inicialización",24.1049,24.1049,0
"S1",25,"Ejecución",35.9366,35.9366,0
"S1",30,"Ejecución",49.8885,49.8885,0
"S1",35,"Ejecución",65.7231,65.7231,0
"S1",40,"Ejecución",82.7996,82.7996,0
"S2",20,"Inicialización",38.8068,38.8068,0
"S2",25,"Ejecución",53.0983,53.0983,0
"S2",30,"Ejecución",68.858,68.858,0
"S2",35,"Ejecución",86.1785,86.1785,0
"S2",40,"Ejecución",104.7748,104.7748,0
"S3",20,"Inicialización",54.8055,54.8055,0
"S3",25,"Ejecución",71.0414,71.0414,0
"S3",30,"Ejecución",88.8286,88.8286,0
"S3",35,"Ejecución",107.9031,107.9031,0
"S3",40,"Ejecución",127.9785,127.9785,0
"S4",20,"Inicialización",71.6609,71.6609,0
"S4",25,"Ejecución",89.7278,89.7278,0
"S4",30,"Ejecución",109.0664,109.0664,0
"S4",35,"Ejecución",129.42,129.42,0
"S4",40,"Ejecución",150.5147,150.5147,0
"S5",20,"Inicialización",89.8473,89.8473,0
"S5",25,"Ejecución",109.5218,109.5218,0
"S5",30,"Ejecución",130.2015,130.2015,0
"S5",35,"Ejecución",151.6531,151.6531,0
"S5",40,"Ejecución",173.6208,173.6208,0
